"parameter","species","mean","lower","upper","prob_pos","prob_neg"
"jday","LAZB",-0.954530069052668,-1.13637630449169,-0.754298104199384,0,1
"jday","LEGO",0.601821301244576,0.291478315187764,0.85568886710076,1,0
"jday","LEWO",-0.201118545833607,-0.643779659340209,0.261097282200434,0.241,0.759
"jday","LISP",-0.0584041240921786,-0.459884229573548,0.341415752245331,0.3875,0.6125
"jday","MGWA",0.0607855333581807,-0.113108792445261,0.238479080803779,0.712,0.288
"jday","MOBL",0.0464129307878586,-0.209615098109397,0.327634775310649,0.6095,0.3905
"jday","MOCH",-0.137684997184569,-0.344610245898009,0.0612153997461578,0.1265,0.8735
"jday","MODO",-0.595532985727932,-0.840490418764112,-0.369429777310685,0,1
"jday","MOUQ",-0.265997831650075,-0.463016660884923,-0.102387763181449,0.008,0.992
"jday","NAWA",-0.61569786429668,-0.825990941111646,-0.395237965584298,0,1
"jday","NOFL",0.0779473375798829,-0.0936460304201487,0.286451730897801,0.753,0.247
"jday","NUWO",0.068080921074468,-0.468314397248655,0.546697346698367,0.588,0.412
"jday","OSFL",0.10925759301431,-0.101853585079293,0.317527748783119,0.815,0.185
"jday","PAWR",0.0518643992979201,-0.424926847682393,0.486483218148604,0.5625,0.4375
"jday","PIGR",-0.0698639832375635,-0.586009197783296,0.440779885318666,0.4145,0.5855
"jday","PISI",0.0159472299707993,-0.278129591409187,0.356535108094276,0.522,0.478
"jday","PIWO",-0.139122369645159,-0.50852104779935,0.212256130761238,0.261,0.739
"jday","PSFL",-0.109202493071869,-0.484015103306813,0.254916655053161,0.311,0.689
"jday","PUFI",-0.215672977860905,-0.481166700781412,0.0283279876813947,0.082,0.918
"jday","PYNU",-0.211405469580396,-0.667467885353613,0.264812933675291,0.2295,0.7705
"jday","RBNU",0.180451903414689,0.0134594918572589,0.358463390206363,0.9515,0.0485
"jday","RBSA",-0.0161004611162402,-0.256267528927785,0.248289352136735,0.464,0.536
"jday","RCSP",-0.155567257253673,-0.656997043498545,0.355606477357703,0.311,0.689
